date,value
1917-08-01,1729.56
1917-09-01,1657.31
1917-10-01,1578.45
1917-11-01,1457.85
1917-12-01,1419.06
1918-01-01,1532.27
1918-02-01,1574.49
1918-03-01,1524.69
1918-04-01,1554.82
1918-05-01,1590.12
1918-06-01,1635.96
1918-07-01,1636.11
1918-08-01,1682.61
1918-09-01,1664.49
1918-10-01,1760.80
1918-11-01,1744.79
1918-12-01,1781.67
1919-01-01,1763.08
1919-02-01,1832.45
1919-03-01,1852.92
1919-04-01,1959.86
1919-05-01,2129.58
1919-06-01,2078.81
1919-07-01,2216.64
1919-08-01,2053.06
1919-09-01,2103.47
1919-10-01,2273.36
1919-11-01,2149.02
1919-12-01,2150.03
1920-01-01,2097.67
1920-02-01,1952.27
1920-03-01,2154.50
1920-04-01,2007.56
1920-05-01,1937.22
1920-06-01,1929.86
1920-07-01,1893.72
1920-08-01,1937.92
1920-09-01,1937.92
1920-10-01,1971.91
1920-11-01,1823.00
1920-12-01,1726.70
1921-01-01,1808.51
1921-02-01,1803.68
1921-03-01,1771.43
1921-04-01,1820.91
1921-05-01,1796.62
1921-06-01,1673.89
1921-07-01,1729.59
1921-08-01,1704.88
1921-09-01,1761.04
1921-10-01,1811.36
1921-11-01,1937.66
1921-12-01,1978.77
1922-01-01,2005.12
1922-02-01,2076.45
1922-03-01,2154.48
1922-04-01,2287.59
1922-05-01,2414.93
1922-06-01,2324.24
1922-07-01,2364.52
1922-08-01,2543.48
1922-09-01,2518.06
1922-10-01,2588.78
1922-11-01,2473.41
1922-12-01,2528.74
1923-01-01,2542.68
1923-02-01,2719.12
1923-03-01,2692.53
1923-04-01,2631.96
1923-05-01,2537.09
1923-06-01,2352.34
1923-07-01,2409.23
1923-08-01,2459.61
1923-09-01,2395.11
1923-10-01,2400.44
1923-11-01,2546.96
1923-12-01,2634.18
1924-01-01,2725.45
1924-02-01,2681.16
1924-03-01,2622.33
1924-04-01,2613.66
1924-05-01,2641.36
1924-06-01,2749.64
1924-07-01,2884.25
1924-08-01,2912.39
1924-09-01,2929.57
1924-10-01,2917.20
1924-11-01,3132.47
1924-12-01,3311.28
1925-01-01,3392.82
1925-02-01,3437.13
1925-03-01,3223.17
1925-04-01,3336.71
1925-05-01,3523.78
1925-06-01,3554.00
1925-07-01,3696.79
1925-08-01,3723.81
1925-09-01,3837.00
1925-10-01,4072.57
1925-11-01,4077.08
1925-12-01,4289.65
1926-01-01,4299.56
1926-02-01,4126.53
1926-03-01,3898.71
1926-04-01,3994.15
1926-05-01,4052.64
1926-06-01,4245.33
1926-07-01,4342.75
1926-08-01,4551.62
1926-09-01,4675.18
1926-10-01,4548.08
1926-11-01,4669.49
1926-12-01,4767.44
1927-01-01,4688.44
1927-02-01,4932.67
1927-03-01,4985.18
1927-04-01,5091.65
1927-05-01,5378.71
1927-06-01,5349.04
1927-07-01,5718.92
1927-08-01,5995.87
1927-09-01,6211.46
1927-10-01,5965.70
1927-11-01,6392.59
1927-12-01,6537.39
1928-01-01,6526.68
1928-02-01,6434.39
1928-03-01,7156.00
1928-04-01,7411.93
1928-05-01,7529.21
1928-06-01,7248.00
1928-07-01,7363.11
1928-08-01,7934.44
1928-09-01,8149.72
1928-10-01,8293.43
1928-11-01,9314.66
1928-12-01,9368.60
1929-01-01,9929.73
1929-02-01,9898.52
1929-03-01,9901.73
1929-04-01,10088.07
1929-05-01,9682.55
1929-06-01,10799.69
1929-07-01,11321.16
1929-08-01,12460.78
1929-09-01,11880.34
1929-10-01,9538.86
1929-11-01,8293.22
1929-12-01,8534.15
1930-01-01,9101.72
1930-02-01,9328.95
1930-03-01,10102.86
1930-04-01,10037.12
1930-05-01,9907.09
1930-06-01,8306.94
1930-07-01,8640.33
1930-08-01,8738.66
1930-09-01,7627.41
1930-10-01,6979.34
1930-11-01,6859.77
1930-12-01,6378.65
1931-01-01,6722.90
1931-02-01,7521.95
1931-03-01,7026.97
1931-04-01,6380.76
1931-05-01,5533.66
1931-06-01,6334.24
1931-07-01,5886.95
1931-08-01,5973.94
1931-09-01,4204.05
1931-10-01,4585.66
1931-11-01,4158.98
1931-12-01,3581.11
1932-01-01,3498.06
1932-02-01,3706.39
1932-03-01,3286.60
1932-04-01,2637.38
1932-05-01,2037.58
1932-06-01,2036.57
1932-07-01,2820.80
1932-08-01,3900.05
1932-09-01,3775.03
1932-10-01,3260.94
1932-11-01,3087.27
1932-12-01,3263.78
1933-01-01,3303.17
1933-02-01,2705.45
1933-03-01,2809.83
1933-04-01,4015.06
1933-05-01,4675.87
1933-06-01,5306.89
1933-07-01,4847.61
1933-08-01,5420.38
1933-09-01,4817.56
1933-10-01,4398.06
1933-11-01,4869.51
1933-12-01,4990.15
