year,month,spx_tr_real,y10_bm_real,cpi,spx_tr_cum,y10_bm_cum,cape_shiller
1881,9,-0.0261000000,-0.0263000000,10.181,255.19,173.83,16.7363
1881,10,-0.0214000000,-0.0128000000,10.276,252.06,173.20,16.2747
1881,11,0.0192000000,0.0193000000,10.181,254.53,174.91,16.4842
1881,12,-0.0240000000,0.0147000000,10.181,248.43,177.48,15.9803
1882,1,-0.0125000000,0.0007000000,10.181,245.32,177.60,15.6751
1882,2,-0.0260000000,-0.0054000000,10.276,241.17,178.30,15.1649
1882,3,0.0021000000,0.0097000000,10.276,241.67,180.02,15.0964
1882,4,-0.0052000000,0.0040000000,10.371,242.64,182.42,14.9216
1882,5,-0.0177000000,0.0019000000,10.466,240.52,184.45,14.5600
1882,6,-0.0091000000,-0.0114000000,10.561,240.51,184.00,14.3332
1882,7,0.0711000000,0.0051000000,10.466,255.28,183.28,15.2548
1882,8,0.0239000000,-0.0037000000,10.561,263.75,184.26,15.5247
1882,9,0.0424000000,0.0301000000,10.276,267.50,184.67,16.0860
1882,10,-0.0126000000,0.0043000000,10.181,261.69,183.75,15.7821
1882,11,-0.0296000000,0.0144000000,10.085,251.57,184.65,15.2165
1882,12,0.0184000000,0.0234000000,9.990,253.79,187.19,15.3927
1883,1,0.0003000000,-0.0071000000,9.990,253.86,185.87,15.2942
1883,2,-0.0282000000,-0.0067000000,10.085,249.05,186.39,14.7636
1883,3,0.0275000000,0.0160000000,9.990,253.49,187.59,15.0693
1883,4,0.0361000000,0.0130000000,9.895,260.14,188.21,15.5119
1883,5,-0.0049000000,0.0094000000,9.800,256.37,188.15,15.3339
1883,6,0.0459000000,0.0350000000,9.515,260.34,189.07,15.9348
1883,7,0.0078000000,0.0158000000,9.324,257.13,188.21,15.9546
1883,8,-0.0408000000,0.0055000000,9.324,246.64,189.24,15.1996
1883,9,0.0269000000,0.0242000000,9.229,250.68,191.85,15.5034
1883,10,-0.0220000000,0.0074000000,9.229,245.18,193.27,15.0590
1883,11,0.0297000000,0.0236000000,9.134,249.85,195.80,15.4040
1883,12,-0.0257000000,0.0071000000,9.229,245.95,199.24,14.9148
1884,1,-0.0253000000,0.0001000000,9.229,239.73,199.27,14.4468
1884,2,0.0314000000,0.0027000000,9.229,247.26,199.82,14.8110
1884,3,0.0003000000,0.0072000000,9.229,247.33,201.26,14.7274
1884,4,-0.0146000000,0.0181000000,9.039,238.70,200.68,14.4258
1884,5,-0.0607000000,0.0015000000,8.849,219.50,196.76,13.4659
1884,6,-0.0343000000,-0.0076000000,8.849,211.98,195.27,12.9179
1884,7,0.0167000000,0.0132000000,8.753,213.20,195.71,13.0550
1884,8,0.0699000000,0.0065000000,8.753,228.10,196.98,13.8885
1884,9,-0.0182000000,0.0185000000,8.658,221.51,198.45,13.5635
1884,10,-0.0167000000,0.0160000000,8.563,215.42,199.41,13.2700
1884,11,0.0080000000,0.0366000000,8.373,212.33,202.12,13.3102
1884,12,0.0140000000,0.0215000000,8.278,212.85,204.12,13.4307
1885,1,-0.0179000000,-0.0069000000,8.278,209.04,202.70,13.1298
1885,2,0.0240000000,-0.0056000000,8.373,216.51,203.88,13.3848
1885,3,0.0306000000,0.0282000000,8.183,218.07,204.86,13.7342
1885,4,-0.0092000000,-0.0139000000,8.278,218.57,204.37,13.5485
1885,5,0.0165000000,0.0274000000,8.087,217.07,205.14,13.7114
1885,6,0.0241000000,0.0332000000,7.897,217.07,206.96,13.9788
1885,7,0.0293000000,-0.0097000000,7.992,226.13,207.42,14.3267
1885,8,0.0603000000,0.0047000000,7.992,239.77,208.41,15.1304
1885,9,0.0032000000,0.0173000000,7.897,237.68,209.50,15.1163
1885,10,0.0621000000,0.0037000000,7.897,252.45,210.28,15.9910
1885,11,0.0560000000,-0.0097000000,7.992,269.81,210.74,16.8240
1885,12,-0.0273000000,-0.0147000000,8.183,268.69,212.59,16.3045
1886,1,0.0274000000,0.0224000000,7.992,269.64,212.30,16.6923
1886,2,0.0227000000,0.0210000000,7.992,275.77,216.75,17.0066
1886,3,-0.0055000000,0.0217000000,7.897,270.98,218.83,16.8433
1886,4,0.0020000000,0.0114000000,7.802,268.25,218.65,16.8017
1886,5,0.0086000000,0.0262000000,7.612,263.95,218.90,16.8632
1886,6,0.0624000000,0.0209000000,7.517,276.91,220.68,17.8315
1886,7,0.0057000000,-0.0119000000,7.612,282.01,220.82,17.8458
1886,8,-0.0019000000,-0.0112000000,7.707,285.00,221.07,17.7239
1886,9,0.0292000000,0.0121000000,7.707,293.32,223.74,18.1471
1886,10,0.0284000000,0.0099000000,7.707,301.67,225.96,18.5624
1886,11,0.0277000000,0.0006000000,7.707,310.04,226.11,18.9683
1886,12,-0.0348000000,-0.0043000000,7.802,302.93,227.92,18.1941
1887,1,-0.0312000000,-0.0303000000,7.992,300.65,226.40,17.5122
1887,2,-0.0158000000,-0.0024000000,8.087,299.43,228.55,17.1254
1887,3,0.0266000000,0.0050000000,8.087,307.41,229.70,17.4732
1887,4,0.0260000000,0.0045000000,8.087,315.40,230.74,17.8230
1887,5,0.0203000000,0.0036000000,8.087,321.80,231.56,18.0754
1887,6,-0.0142000000,0.0150000000,7.992,313.51,232.26,17.7077
1887,7,-0.0093000000,0.0024000000,7.897,306.91,230.06,17.4315
1887,8,-0.0332000000,-0.0151000000,7.992,300.28,229.31,16.7398
1887,9,0.0027000000,-0.0002000000,7.897,297.49,226.53,16.6766
1887,10,-0.0413000000,-0.0059000000,7.992,288.65,227.91,15.8807
1887,11,0.0111000000,0.0007000000,8.087,295.33,230.79,15.9507
1887,12,-0.0247000000,-0.0291000000,8.278,294.80,229.35,15.4555
1888,1,-0.0001000000,-0.0068000000,8.373,298.17,230.41,15.3587
1888,2,0.0096000000,0.0248000000,8.278,297.62,233.43,15.4182
1888,3,-0.0340000000,-0.0111000000,8.278,287.50,230.83,14.8090
